# ㄐㄧ
计,計
击,擊
积,積
绩,績
级,級
记,記
纪,紀
迹,跡
继,繼
际,際
几,幾
机,機
讥,譏
极,極
剂,劑
济,濟
挤,擠
辑,輯
鸡,雞

# ㄐㄧㄚ
夹,夾
荚,莢
颊,頰
价,價
驾,駕
贾,賈

# ㄐㄧㄝ
节,節
结,結
洁,潔
阶,階

# ㄐㄧㄠ
娇,嬌
矫,矯
骄,驕
胶,膠
较,較
侥,僥
浇,澆
脚,腳

# ㄐㄧㄡ
旧,舊
纠,糾

# ㄐㄧㄢ
见,見
间,間
简,簡
剑,劍
渐,漸
捡,撿
检,檢
拣,揀
减,減
监,監
艰,艱
坚,堅
鉴,鑑
贱,賤
荐,薦
键,鍵

# ㄐㄧㄣ
尽,盡
进,進
锦,錦
紧,緊
谨,謹
仅,僅

# ㄐㄧㄤ
讲,講
将,將
奖,獎

# ㄐㄧㄥ
径,徑
迳,逕
劲,勁
经,經
净,淨
静,靜
靓,靚
镜,鏡
竞,競
惊,驚

# ㄐㄩ
剧,劇
据,據
惧,懼
举,舉

# ㄐㄩㄝ
决,決
觉,覺
绝,絕

# ㄐㄩㄣ
钧,鈞
军,軍
骏,駿
