# ㄌㄞ
来,來
赖,賴

# ㄌㄟ
类,類
泪,淚

# ㄌㄠ
劳,勞
捞,撈

# ㄌㄡ
髅,髏

# ㄌㄢ
拦,攔
烂,爛
栏,欄
蓝,藍
懒,懶

# ㄌㄧ
里,裡
离,離
历,歷
厉,厲
励,勵
丽,麗
隶,隸

# ㄌㄧㄠ
疗,療
缭,繚

# ㄌㄧㄢ
连,連
联,聯
脸,臉
练,練
炼,煉
莲,蓮
敛,斂
怜,憐

# ㄌㄧㄣ
灵,靈
龄,齡
临,臨
躏,躪

# ㄌㄧㄤ
俩,倆
靓,靚
谅,諒

# ㄌㄧㄥ
领,領

# ㄌㄨ
录,錄
炉,爐
庐,廬
辘,轆

# ㄌㄨㄛ
络,絡
箩,籮
喽,囉

# ㄌㄨㄢ
乱,亂

# ㄌㄨㄣ
沦,淪
论,論
轮,輪

# ㄌㄨㄥ
龙,龍
珑,瓏
拢,攏
笼,籠

# ㄌㄩ
绿,綠
虑,慮
缕,縷
屡,屢
滤,濾
